\outl0\strokewidth0 \strokec2 ,tweet,class,class2,rand
19638,"RT @iadorewomen_: ALL Relationships come w/ hatin ass hoes&#128589;, drama&#128074;, jealousy&#128530;, arguments&#128545;.. ALL THAT. Only REAL couples laugh at the shit &#8230;\",1,1,4.55E-05
11353,"I wasn't born last night, I know these hoes ain't right\",1,1,0.000162348
22985,"We bout to be the next Chik Fil A, lmao. Couple of fags said we told them if they didn't like their food to get out.\
Never happened &#128514;&#128514;&#128514;&#128514;\",1,1,0.000166126
18556,"RT @Yankees: Congrats to Derek Jeter, who will start at shortstop in his 14th and final All-Star Game! #FarewellCaptain http://t.co/5nhtJOx&#8230;\",2,2,0.000200647
18147,RT @The_Paradox: FAGGOT RT @80sbaby4life: I was in the club and there was this good lookin bitch. ..she had gold teeth tho. I was confused &#8230;\,1,1,0.000350273
24263,"don't follow me and unfollow me, you are retarded\",1,1,0.000413618
25055,these hos really be hatin on Draya fine ass\,1,1,0.000460849
20536,RT @taexchanae: momma dee ain't loyal. you ain't pose to tell his main bitch bout his side bitches &#128514;\,1,1,0.000465051
16648,RT @LouieVRee: Just cause i liked a photo from 32 weeks ago don't mean i'm stalking you bitch you just don't look as good as you used to\,1,1,0.000470735
21587,Spongebob ass niccas fr\,1,1,0.000471791
8201,Been a trill nicca since a Lil nicca\,1,1,0.000494536
4841,"@SideHoeNextDoor with your height, yeah. Chunky bitch\",1,1,0.000544073
1217,&#8220;@ClassicPict: http://t.co/ZStrqBpwpw&#8221; shit like this is retarded.\,1,1,0.000561819
5705,@asiahh__ nah I replied to you like I did to literally everyone else who called it trash... Go and check if you don't believe me\,2,2,0.000620869
19691,"RT @iowahawkblog: Whatta co-inky-dink: IRS cancelled contract with email backup company right after Lerner's computer ""crash"" http://t.co/Z&#8230;\",2,2,0.000636579
24549,if u get mad or in ur feelings bout Zoe's vs Yanks tweets then twitter ain't for u!!! I be rolling at this shit tho&#128553;\,1,1,0.000658919
20016,"RT @louiev_: LMAOOOO RT @TAN1AAA: White people lmaoo RT @sexxielexxie: Filth. RT @SoloChills: When she says ""Come get this pussy"" https://t&#8230;\",1,1,0.000787425
22064,The pilot seen my eyes and said they awfully red I told him I get high as you bitch I'm the man http://t.co/uloUE2qx3p\,1,1,0.000814796
16570,"RT @LifeAsBros: *Girls* Hey beautiful!! (Friendship lasts 2 months)\
\
*Bros* Sup pussy? (Friendship lasts forever)\",1,1,0.000828774
3103,et aller une putain de laryngite comme aime à tousser comme une grosse debile et plus avoir de voix et être sous antibio,2,2,0.000852248
336,"""@greggutfeld: a video an entire media will likely mock. http://t.co/XFr1cRXWSm"" i am such a crybaby\",2,2,0.00085751
14589,"RT @AyGeraldJay: The ape was like ""Oh you niggas gon learn today"" &#128557;&#128128; https://t.co/FYK1XeBgV7\",1,1,0.000872398
15246,"RT @DaDonherself_: Niggas will fuck over a pretty girl w her head on right , for a ho who only got 3 pair of good panties &#128514;&#9996;&#65039; .\",1,1,0.000992716
413,@user cet attardé mental il même pas un diplôme. donnez son emploi à un chômeur.,0,1,0.00103426
10557,I feel bad for her nicca tho ... Ya girl a hoe my nicca!\,1,1,0.0010695
2624,@BeattyJustin @KYOppCoalition And just what is that bitch gonna do for women?\,1,1,0.001069708
