HITId,tweet,class,class2,rand
2549,bon apres jsuis content que jai fais ca mtn jle referai plus mais ptdrrrr jsuis quel genre de mongol,2,2,0.000687324
85,qui de deter aller au chinois ds la semaine la j...ai trop envie d...un noich,2,2,0.001340265
2489,est plus grand bien-sûr attardé que je suis à oublié des mots x),2,2,0.001394142
53,c est qui le mongol en face bourdin? @url,1,1,0.001450928
1202,@user effectivement merci quel attardé je suis,1,1,0.001871822
2542,les renois et métisses ils sont tellement beaux @url,1,1,0.002051718
6,@user @user en algerie les migrants sont expulsés dans le désert je crois bien qu'ils ont une autre vision… @url,1,1,0.002308839
3441,@user @user @user @user que mongol,1,1,0.00236725
930,@user g un prof d’eco doctorant et chercheur il sorti des 10aines de livres dirait un attardé qd il parle,1,1,0.002415902
2908,rt @user il 20 ans:nle droitard: la france s'islamise.nle gauchiste: facho!nle droitard: l'ecole le niveau baisse les profs ont,1,1,0.002587309
1439,@user @user @user @user ah oui exact j...avais pas compris ton premier tweet ,2,2,0.002634238
1687,pour vous faire comprendre à quel point ce pays est attardé regardez le type d’emails politiques qu’ils envoient… @url,1,1,0.002959444
3553,@user ptdrrr merci gauchiste pref,2,2,0.003325898
1655,@user bah tu t’en souviens pas gros attardé,1,1,0.003453123
612,les renois vous abusez à tomber au milieu de la piste de bowling,0,1,0.003702091
1165,@user comme la majorité des renois de france... faites un sondage vous verrez par vous même il suffit de rega… @url,1,1,0.003918468
1328,@user et l’attardé derrière qui s’éclate son gros crâne avec une pastèque @url,1,1,0.00423958
848,@user @user en fr ça vas devenir le seul rempart contre l'islamisation et les agressions journalière… @url,1,1,0.004246773
1549,@user mongol esse ai,1,1,0.004266376
3180,rt @user le gauchiste francais veut resoudre les problemes du monde defaut de resoudre les problemes chez lui ...donneur de lec,1,1,0.00447403
3421,@user @user mais totalement avc ce mongol aussi va pas aller loin,1,1,0.005209434
883,rt @user ce passage sur le marin chinois mais serieusement  empereur ching chong ayaaa  @user @url,1,1,0.005482028
3462,@user @user j’ai rien contre lui j’rigolais mongol va,1,1,0.005569344
3161,@user @user tg c'est vous vous êtes pas drôle bande de mongol,1,1,0.006677029
2312,#macron ne connait pas l'histoire de france. il essaie de s'en servir avec une maladresse d'adolescent attardé. pau… @url,1,1,0.006854162
1095,comme vs savez pas séparer l’islam du terrorisme mdr en tt k,1,1,0.00687945
2614,cedric herrou range bien consigny à sa place. en effet les musulmans sont les 1eres victimes du terrorisme.,1,1,0.007388279
2000,au renois du macdo de beaune tu étais grave bg viens dm,1,1,0.007713376
3783,@user mais il est dans le coma mongol,1,1,0.008103123
2571,les mamans renois vous êtes trop choupi à toucher mes cheveux dans l'metro etc mais j'ai quand mm peur,1,1,0.008112183
1007,@user espèce de sale trans tu ressemble à un vieux pd qui sort d’une grosse partouze avec des renoi,0,1,0.008117422
1551,@user . quand 16% de la population est musulmane le processus d'#islamisation est irréversible un poin… @url,2,2,0.008395446
663,frise le totalitarisme . un syndicat gauchiste quoi... @url,2,2,0.008774695
3773,@user @user @user tous ceux qui disent que les musulmans et l'islam c'est le terrorisme so… @url,2,2,0.00885717
2192,autriche: @user dans @user dresse un inventaire des différentes mesures anti migrants prises par par le di… @url,1,1,0.00917529
1923,jsuis vrmt attardé miam,2,2,0.009458123
809,@user @user @user donc elle pose des soucis attends mais tes tes attardé enfaite tu lance un débat avec… @url,1,1,0.010009346
377,@user mdrrr bah putain je suis un vrai mongol,1,1,0.010633883
2150,les feujs qui valident zemmour c’est les cousins des rebeus qui valident bassem,1,1,0.010916541
3621,@user « ouais mais c’est des rebeus c’est gochissses »,1,1,0.011056183
615,@user sale féministe jui déçu,1,1,0.011191967
767,@user chez les rebeus,1,1,0.011609386
3115,@user accueillir 58 migrants c'est sans fin ça appellera la venue d'autres migrants et vous le savez très… @url,2,2,0.011756264
3641,@user t’es trop rlou le plus beau de tous les rebeus t’es trop charmant,2,2,0.01206721
2963,ocampos le mongol va planter ce soir,1,1,0.012436248
2420,les renois @url,1,1,0.01307042
3422,@user @user mdrrr la tête de oit que t’est vraiment le mec le plus attardé que j’ai vue merde… @url,1,1,0.013354502
3450,@user @user est au niveau de l...anchois au niveau de la chaine alimentaire. ridiculise toi encore plus,2,2,0.013683318
2345,faire de la vaiselle avec @user et se rendre compte que notre fils @user est complètement attardé,1,1,0.013686988
