\outl0\strokewidth0 \strokec2 ,tweet,class,class2,rand
14303,Quit hoggin the blunt bitch\,1,1,1.84E-05
8243,Big black bitches out here arguing\,1,1,8.49E-05
1082,&#128588; RT @iDO_me2: this vodka be having all the hoes bent over&#128553;&#128131;\,1,1,0.000123693
22808,U ever seen a bitch talk shit about another bitch then U see them hanging together?\,1,1,0.000158024
9415,For some reason I always assume guys who act like that in trucks have tiny dicks HAHA #fag\,1,1,0.000158275
8596,Can't trust these bitches. And these niggas either.\,1,1,0.000162763
2431,"@AidaApple14 imma bitch i know , leave me alone\",1,1,0.000163192
8162,"Bang, bitch, you think I'm strange, bitch? It's bananas like a fucking rangatang bitch\
\
#vote5sos\
#EMABiggestFans1D\",1,1,0.000299371
19096,"RT @boujjhetto: When an irrelevant bitch dislikes u for no reason &#128133;\
 http://t.co/sM1rsmOLEZ\",1,1,0.000366398
9071,Don't trust a bitch who's nail polish is chipping off.\,1,1,0.000447462
15027,RT @ChiefKeef: Finna fly me a Thot out here! Get back on My make bitches Fly like Peter Pan shit.\,1,1,0.000476977
21255,Should I tell this hoe who she look like cdfuuu\,1,1,0.00049839
3053,"@DaveTheGayBaby No problem, remembering all those quirks can be a real bitch.\",1,1,0.000557097
9160,Early bird get the worm.\,2,2,0.000692217
18248,RT @TrillAssKass: wet pussy makes the dick slip out &#128166;&#128540;\,1,1,0.000726503
16538,RT @LeanandCuisine: bitch where you see a Katy or perry in that pic RT&#8220;@howlilwayneraps: Katy Perry is so fit &#128525;&#128525; http://t.co/cyclTBkPNO&#8221;\,1,1,0.000728531
3733,@Jaytwofly @G_MUCKA good leave you stupid faggot\,0,1,0.000763293
12784,Little bitty bumble bee&#128029;&#128029; #bumblebee http://t.co/WgYL5UpjQq\,2,2,0.000827614
15425,"RT @DrunkyStory: ""1st time eating pussy, I thought I was supposed to literally eat it so I ended up biting her clit really hard. We havent &#8230;\",1,1,0.000873294
21783,"Text ya bitch like ""ya man suck, meet me at da birkin store tell em get his bands up"" &#128527;\",1,1,0.000924744
16224,RT @JonahAir23: money over the best pussy\,1,1,0.000941055
15216,RT @DFkinLopes: Lying ass bitch http://t.co/vGUClaeNnt\,1,1,0.000966996
19999,RT @lmfaohilarious: Never go full retard http://t.co/LMk3TX5ViC\,0,1,0.000985855
5562,@_icantmiss send that hoe &#128514;&#128514;\,1,1,0.001006483
4213,@MickalaBickham bitch\,1,1,0.001023389
9810,"Got ya crackas, spics, chinks, and carpet riders but no niggas MLK ain't fight for nothing #GimmeABlackEmoji\",1,1,0.00103265
3084,@DeliaParedez @rikki_lovee @GabrielaAngela4 @StephyRae7 @TheOneMiss_Luu @Ramona_Pilar I'm coming bitches.\,1,1,0.001115504
8456,Bum bitch won't even my type\,1,1,0.001126217
8189,Beat the pussy in so well her shit still hurting from a week ago\,1,1,0.00113088
14403,RT @AC_Hussle: When yall having a good day &amp; she brings up a bitch from Twitter http://t.co/LQVLDxOwsH\,1,1,0.001212705
4482,@Oskzilla I'll bitch slap you to the shadow realm!\,1,1,0.001223734
12111,In yo bitch dm like.. http://t.co/OuJU8LaXr1\,1,1,0.001227459
23009,We over here struggling with college and work and ice jj fish making money for being trash lol. What has this world come to.\,2,2,0.001229704
21998,The boy who shot albino deer http://t.co/D4XajBEIb1\,2,2,0.001240334
10911,I know righttt RT @dta_87: I hate fat loud bitches\,0,1,0.001251623
17007,RT @NerdAtCoolTable: Soon as your girl see niggas pouring champagne on bitches ass she should want to leave\,1,1,0.001267018
18406,RT @WBeezy_: Rohan a bitch yo &#128514;&#128514;\,1,1,0.001323059
4642,@Real_Liam_Payne be a pussy http://t.co/ttzsxBtS74\,1,1,0.001352292
9478,Fuck MLK &#8220;@AntSoo305_: &#8220;@Vonteeeeee: Why does Lexii keep favoriting my coon tweets ?&#8221; MLK didnt die for this&#8221;\,0,1,0.001390356
768,"#RadioFreeNorthwest 218\
Covington reads responses &amp; mocks FBI, Andy on Real Politics, Liv on her awakening, Gretchen\
http://t.co/t9JyhAncPR\",2,2,0.001516252
10770,I hate when bitches get lame &#128078;\,1,1,0.001565622
24125,"bitch im DEAD!! &#128128;&#128128;&#128584; RT @KingHov1313: Them heauxs gon put balloons in a corner &amp; take pics talkin bout ""We in V.I.P""&#128553;\",1,1,0.001568094
15278,"RT @DanBilzerian: My boy is obviously gonna be slaying all the pussy tonight, dressed as a ninja turtle http://t.co/su2HNFq6S8\",1,1,0.001582614
10771,"I hate when bitches keep saying ""yassss like"" like bitch u sound stupid stfu\",1,1,0.001628508
19674,RT @imFindDory: lol when bitches tryna chill with me like do u kno who i am? im the mother fuxin Dory hoe I TOUCHED THE BUTT\,1,1,0.001665575
7222,@sheisdope_ Like ion care how &#8220;that bitch susie from work broke up with her man and she was tellin me the whole story&#8221; blah blah blah\,1,1,0.001674578
1510,&#8220;@RedHeadRay_: Is it wrong if I get on this bitch and started talking shit &#128514;?&#8221;yes!\,1,1,0.001706029
14563,RT @AsaAkira: A bird just flew into my hotel room. I'd rather get gangbanged by 10 Mandingos for 2 days straight than experience that again&#8230;\,1,1,0.0017259
13545,Never been a bitch!\,1,1,0.001784237
23316,Whoooooaaa no chill savage &#8220;@CantBeLocal: Here monkey monkey http://t.co/wmZ8s3j6iG&#8221;\,2,2,0.001853754
3964,"@Krbfarms @Cornfrmr I was gone once, dog ran a coon up the transformer pole, she picked it off with one shot-and still had electricity!\",2,2,0.001895725
18243,RT @TrentSkii_Baby: &#8220;@1017_Sqquad: Fucking niggas bitches man I'm use to it&#8221;\,1,1,0.001929666
7234,@sisternoles Fingers crossed for you. If not? Chug chug chug lol\,2,2,0.001989989
23999,"Your pussy hole must be small ""@SoNi99a_: the adjustment phase? RT @80sbaby4life Tf is ""gentle intercourse"" ....""\",1,1,0.002098032
12671,"Let me tell yall....I had a glass of something sweet....this bitch brought me a full glass, im thinking its the same thing and start gulping\",1,1,0.002144142
6217,@greekkid31 @TaraSetmayer @TheWillDunne yes true reagan was the first..ike wouldnt. While president and he was supreme allied commander.\,2,2,0.002170121
16071,"RT @JETzLyfe412: Started off wit nuttin I was hungry, now I got a couple niggas bitches who want me\",1,1,0.002173175
15395,RT @DrBrewWatkins: Getting bitches http://t.co/dwyd4RRM7v\,1,1,0.002225814
17390,RT @RT_America: US Army removes &#8216;negro&#8217; as official reference to black people after public outrage http://t.co/qtiTEzE7Bh http://t.co/nudHr&#8230;\,1,1,0.002229137
