\outl0\strokewidth0 \strokec2 ,tweet,class,class2
18,@user mexican spic dora,0,1
21,@user cunt embarrassment club,0,1
25,mongoloid ordered 9 dozen donuts 8 called back see sell craft coffee,0,1
40,@user still bitter cunt. much interest arsenal? player player fod us get sold.,0,1
53,@user @user coincidentally timed caravan love coming shithole countries pretty sure unrelated ,0,1
63,@user swear .. white people fucking retarded ...,0,1
67,@user look retarded,0,1
68,wish could around see one shithole-countries rule world one day. (better yet trump still around.),0,1
81,@user okay giving benefits illegal aliens? ary okay working illegally? ar @url,0,1
97,baby knows potus #mongoloid,0,1
99,@user america shithole country los angeles good.,0,1
120,horrible cunt @url,0,1
122,#shitholecountry leave?nnoh yeah....because shithole country overran @url,0,1
127,@user literally mudslinging retard,0,1
135,1/1024th middle eastern leftist they'd calling largest terrorist attempt since 9/11.nnbut @url,0,1
145,sheck wes nigger,0,1
161,enough enough! @user cancel scheduled testimony lying feminazi ford needs @url,0,1
167,@user yes retarded leader paper tiger.,0,1
170,well maybe i'm faggot america!ni'm part redneck agendannow everybody propagandanand sing along age paranoia,0,1
174,@user hey spic kinkdom bigger get facts sending ur little puppets talk smacknnur server @url,0,1
205,d-rats feminazi abortion devils came trolling carloads cash. despicable! @url,0,1
209,fucking hate lanky ginger cunt joseph brady,0,1
231,words it'll become shithole state instead shithole country? @url,0,1
248,@user @user @user babe ruth dirty jew,0,1
253,@user stop making gay u faggot,0,1
278,celebrating??????? curry gonna let smash gay mongoloid fuck,0,1
306,@user fun i've twat think started ignoring,0,1
314,game glitched cunt complete challenges like 4 times actually count,0,1
315,videos grandpas fat gay fucking gay grandpas negro gay masturbation peperonity gay fetish pics,0,1
354,@user fuckin retard,0,1
360,remember always go full retard maybe back. @url,0,1
364,@user lmfao tell cunt look elsewhere,0,1
379,damn retarded ,0,1
384,y'all niggas gay hella faggot ass shit,0,1
389,..why illegal aliens allowed mobile phones? @url,0,1
409,@user i'm man still retard.,0,1
415,got banned called desiinger retard,0,1
449,@user hes faggot dude can't stand people like,0,1
451,feminist called fat twat.,0,1
455,people living shithole countries throw stones. #treeoflifesynagogue @user,0,1
460,try hardest tweet trump lol cunt @url,0,1
476,@user @user love negro!!!!,0,1
482,@user wtf saying? cause shithole countries collapse. example destroying @url,0,1
495,cannot believe i'm sluttyjock wrote sharing teamviewer password. really faggot? haha. pr @url,0,1
499,iconic.. factual! best thing slothy little cunt said long time merry saturday filthy ani @url,0,1
501,always nights stopped drinking feel fine morning ones cunt ya,0,1
502,worry bullshit going godforsaken shithole country leave us alone ca @url,0,1
505,@user looks like he'd call dirty spic hair long &amp; blonde ,0,1
517,austin bought chocolates... negro ate them. at?,0,1
519,@user think lil corrected fucking retarded i'm losing brain cells @url,0,1
520,men democrats see rights illegal aliens ms-13 terrorists etc.,0,1
526,@user @user happy bday @user gay faggot !!,0,1
